ID,Title_CN,Fable_CN,Moral_CN,TOC
0,狐狸和葡萄,一只饥肠辘辘的狐狸，看见缠绕在高架上的葡萄枝挂着几串成熟的葡萄，就尽力向上跳，想要摘下那些葡萄。但无论他怎么努力，也是徒劳无功，因为他始终够不着那些葡萄。于是他放弃了，反而带着不屑一顾的样子走开了，边走边说："还以为那些葡萄已经熟透了呢，现在看来根本就是酸葡萄。",做人做事要实事求是，不可自欺欺人。,狐狸
1,下金蛋的鹅,有一对夫妇非常幸运，他们有一只每天下一枚金蛋的母鹅。尽管非常幸运，可他们很快就觉着财富增加得还不够快，不仅如此，他们还以为这只鹅的内脏肯定也是金的。于是，他们决定杀掉它，这样就能立刻得到全部珍宝了。然而，他们把鹅开膛破肚之后，却发现和其它鹅没什么两样。如此，他们既没有像当初希望得那样一夜暴富，也不能再享有财富与日俱增的好运气了。,贪多必失。,其他
2,猫和老鼠,从前，有一座房子，里面的老鼠泛滥成灾。一只猫听到此事，便自言自语："那正是我要去的地方。"于是她走到那座房子里住下来，一只接一只地抓老鼠，然后吃掉他们。最后，老鼠们再也无法忍受下去，决定躲到自己的洞里，再也不出来。"这还真不好办了，"猫自言自语道，"若想骗他们出来，只能耍个花招了。"她琢磨了一会儿，然后爬上墙，用后腿钩住木桩倒挂下来，假装已经死了。过了一会儿，一只老鼠向外窥探，看到了挂在那里的猫。"啊哈！"老鼠大叫，"夫人，你还真聪明，不过，就算你假装成一袋粮食挂在那里，你也骗不了我们去接近你。",如果有足够的智慧，面对那些曾认定的危险人物所假装出的无辜，你也不会上当受骗。,猫
3,恶狗,从前，有一条狗经常无缘无故地抓人、咬人，去他主人家做客的每个人都很讨厌他。主人在他的脖子上系了一个铃铛，以此提醒人们提防他的出现。这条狗对脖子上戴着的铃铛引以为傲，大摇大摆地戴着它走来走去，十分满意这种叮当声。但是，一条老狗却走过来对他说："我的朋友，姿态越低，对你越好。你不会真的以为这个铃铛是对你的奖赏吧？事实恰恰相反，它是耻辱的标志呀。",恶名常被误认为美誉。,狗
4,烧炭工和漂洗工,从前，有一个自力更生的烧炭工人独自在家工作。碰巧，一个漂洗工搬至隔壁，与他成了邻居。结识漂洗工后，烧炭工人经过了解发现，这个邻居将是一个很好的合作伙伴，就问漂洗工愿不愿意搬到他的铺子里一起工作。"那样我们会变得更加亲密，"烧炭人说，"不仅如此，我们还可以节省生活开销呢。"漂洗工却谢绝了他，回答说："我可不这样看，先生，因为不管我把衣服漂洗得多么白，都会立刻被你的木炭染黑了。",物以类聚人以群分。,其他
5,老鼠开会,老鼠们因为经常被猫袭击，对此感到十分苦恼。于是，他们在一起开会，商量用什么办法对付猫的骚扰，以求平安。几个建议相继都被否决之后，一只很有威望且经验丰富的老鼠站起来，说："我忽然想到一个办法，可以确保大家未来的安全，假如你们赞成的话，我们就这么办。这个办法是，我们应该在敌人的脖子上挂一个铃铛，猫走路时发出的叮当声，就会警告我们猫要来了。"他的提议受到了大家的赞同，都决定采用这个办法，就在这时，一只年长的老鼠伸出他的前爪，说："我也赞同这是一个绝妙的好办法，但是，我想问一下，谁去给猫系铃铛呢？",解决问题一定要有一个切合实际的方法。,老鼠
6,蝙蝠和黄鼠狼,蝙蝠落到地上，被黄鼠狼捉住了，就在快要被杀死、吃掉之前，他乞求黄鼠狼放了他。黄鼠狼说不能放了他，因为他向来是所有鸟类的敌人。蝙蝠说："噢，我根本不是鸟儿，只不过是一只老鼠。"黄鼠狼说："原来你是老鼠呀，现在我才看清你。"于是，黄鼠狼放走了蝙蝠。不久，蝙蝠又以同样方式被另一只黄鼠狼捉住了，像从前那样，他又求黄鼠狼放了自己。"不行，"黄鼠狼说，"我绝不放过任何一只老鼠。""可我不是老鼠呀，"蝙蝠说，"我是一只鸟儿。""哎呀，原来你是一只鸟儿呀，"黄鼠狼说着，也放走了蝙蝠。,见风使舵。,狼
7,狗和母猪,狗和母猪争辩，都说自己的孩子更加出色。"嗯，"母猪最后说，"至少我的孩子一生下来就能看见东西，你的孩子生下来却是个瞎子。","判定事物的好坏 ,不完全取决于速度 ,而要看本质的好坏。",狗
8,狐狸和乌鸦,乌鸦坐在树枝上，嘴里叼着一块奶酪。这时，狐狸在观察乌鸦，转动鬼脑筋想得到那块奶酪。于是，狐狸走过去，站在树下，仰起头说道："我的头上有一只多么高贵的鸟儿呀！她的美貌天下无双，她的羽毛精致纤美。要是她的声音也像外貌和羽毛那样美好，毫无疑问，她真该成为鸟类的女王！"听到这番恭维，乌鸦简直受宠若惊，一心只想着向狐狸炫耀一下自己的歌喉，就"呱"地大叫了一声。理所当然，她嘴里的那块奶酪就掉了下去，狐狸立刻抓起奶酪，说："乌鸦夫人，我知道你的歌喉很不错，可你需要的是智慧。",不要相信阿谀奉承者。,狐狸
9,马和马夫,从前，有一个马夫，常常花费几个钟头来为他负责照管的马修剪和梳理毛发，可是他却每天都会偷一部分喂马的燕麦，拿去卖了以谋私利。逐渐地，马的健康状况越来越糟糕，最后忍不住对马夫大叫："你要是真想让我看上去光滑闪亮，就应该少给我梳毛，多喂我燕麦。",打基础需要各类营养均衡，否则导致基础建设不良。,其他
